,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
85,92,N/D,SCS1,Head of Heat Strategy and Policy ,"Responsible for the Govt’s low carbon heat strategy including policy on heating and cooling in buildings, district and community heating, distributed energy systems and industrial process heat. The team also covers the Standard Assessment Procedure (SAP) measuring building energy performance and Combined Heat and Power (CHP). ",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,100,1498466.0,1.0,65000,69999,0,Policy,,1
86,93,N/D,SCS1,Corporate Communications,To provide an information service to staff and stakeholders,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,78,0.0,1.0,70000,74999,0,Communications,,1
87,94,N/D,SCS1,Head of Organisational Capability,To ensure that DECC has strategies in place to develop the capability - through both recruiting the right people and developing the right skills - it needs to deliver on its business objectives,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,42,0.0,0.91,70000,74999,0,Human Resources,Costs included in post 42,1
88,95,N/D,SCS1,"Head, Strategy and Programme Office - Electricity Markets and Infrastructure ","Running the EMI SPO which includes Group strategy and portfolio and performance management, policy coherence across the Group, a flexible resource pool to support pressures across the Group, responsibility DECC's Primary Legislation and Devolution issues and general support for the Director General. ",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,3,12889049.0,1.0,65000,69999,0,Policy,,1
89,96,N/D,SCS1,"Head, Institutional Frameworks",Design and implementation of EMR institutional arrangements including the EMR Delivery Body and the CfD Counterparty.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,133,1243666.0,1.0,90000,94999,0,Policy,,1
90,97,Jim Hayward,SCS2,Smart Meters,To lead the Smart Meter Programme Delivery team,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,76,2589568.0,1.0,140000,144999,0,Policy,"Includes costs of posts 129, 105, 72, 106, 107",1
91,98,N/D,SCS1,Head of Security of Electricity Supply,Security of electricity supply policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,133,2015029.0,1.0,60000,64999,0,Policy,,1
92,99,Eliminated,SCS1,Deputy Director Governance and Capability,Governance and capability,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,,correspondence@decc.gsi.gov.uk,45,0.0,1.0,0,0,0,Policy,,1
93,100,Stephen Martin,SCS2,"Director, Heat & Industry","Developing a long-term strategy for reducing emissions from heating.  Supporting the deployment of renewable heat production.  Improving energy efficiency and reducing emissions of large energy users, while maintaining UK industrial competitiveness.",Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,76,0.0,1.0,85000,89999,0,Policy,Costs included in post 76,1
94,101,Nick Crabtree,SCS2,OCCS Strategic Delivery Director,To lead the OCCS team,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,6,795371.0,1.0,120000,124999,0,Programme and Project Management (PPM),,1
95,102,N/D,SCS1,Deputy Director Governance ＆ Corporate Change,"The team’s role consists of corporate governance for the department, ensuring and supporting effective governance for DECC; and corporate change, responsible for coordinating improvements to DECC and how it works. ",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy,0300 060 4000 ,correspondence@decc.gsi.gov.uk,39,0.0,1.0,65000,69999,0,Planning,Costs included in post 39,1
96,103,N/D,SCS1,Head of Better Regulation,Better Regulation and Red Tape Challenge,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,43,0.0,1.0,75000,79999,0,Policy,Costs includfed in post 43,1
97,104,N/D,SCS1,"Deputy Director, Fuel Poverty",Fuel Poverty,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,81,913909.0,1.0,60000,64999,0,Policy,,1
98,105,N/D,SCS1,Head of Regulation,Smart Meter Programme,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,97,0.0,1.0,55000,59999,0,Policy,Costs included in post 97,1
99,106,N/D,SCS1,Deputy Director Technical Design Projects,End to End Technical Design for Smart Meters,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,97,0.0,1.0,55000,59999,0,Policy,Costs included in post 97,1
100,107,N/D,SCS1,Head of Commercial ,Smart Metering Implementation Programme,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,97,0.0,1.0,75000,79999,0,Policy,Costs included in post 97,1
101,108,N/D,SCS1,"Deputy Director, Green Deal",Encouraging energy efficiency,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,80,0.0,1.0,60000,64999,0,Policy,,1
102,109,David Purdy,SCS2,"Director, Energy Efficiency Deployment Office",To advance energy efficiency in the UK ,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,76,0.0,1.0,80000,84999,0,Policy,Costs included in post 76,1
103,110,Eliminated,SCS1,"Deputy Director, Green Deal Legislation and Finance",Responsible for advice to Ministers on the development and delivery of the Green Deal finance mechanism,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,,correspondence@decc.gsi.gov.uk,80,0.0,1.0,0,0,0,Policy,,1
104,111,N/D,SCS1,"Deputy Director, Green Deal Programme Delivery",Green Deal programme management and management of outsourced delivery. Evaluation of programme and statisitics and reporting. ,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,80,1313125.0,1.0,75000,79999,0,Policy,,1
105,112,N/D,SCS1,Head of Electricity Market Reform Programme Team,Ensure the effective implementation of the Electricity Market Reform programme,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,133,0.0,1.0,60000,64999,0,Policy,Costs included in post 133,1
106,113,Eliminated,SCS1,Head of EU Renewables Target,To develop EU Renewables Target,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,correspondence@decc.gsi.gov.uk,3,0.0,1.0,0,0,0,Policy,,1
107,114,N/D,SCS1,"Deputy Director, Legal: Infrastructure & Market Regulation",To provide legal advice on Infrastructure & Market Regulation issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,0.86,70000,74999,0,Law,Costs included in post 41,1
108,115,N/D,SCS1,"Head, International Energy Security",Energy Security,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,67,800410.0,1.0,60000,64999,0,Policy,,1
109,116,N/D,SCS1,Head of Renewable Energy Delivery,"The Renewables Delivery Team (RDT) provides project-based support and leadership  on a range of projects to enable delivery of renewable energy as a core part of the UK’s low carbon energy future.  RDT projects are shaped by the needs and priorities of Ministers, ORED and the wider Department, and include those to address barriers to renewables deployment and increase cost-effectiveness.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,9,1539138.0,1.0,65000,69999,0,Policy,,1
110,117,N/D,SCS1,Deputy Director - Geological Disposal Facility,To manage the policy and process for identifying a site for the geological disposal of the nation’s higher activity radioactive waste.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,8,0.0,1.0,60000,64999,0,Policy,Costs included in post 8,1
111,118,Eliminated,SCS1,Head of Offshore Oil and Gas Environment and Decommissioning,Environmental regulation of the offshore oil and gas industry ,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,correspondence@decc.gsi.gov.uk,5,0.0,1.0,0,0,0,Policy,,1
112,119,N/D,SCS1,Deputy Director Green Deal and Energy Company Obligations,Design and delivery of domestic energy efficiency obligations for energy suppliers. Green Deal finance and policy relating to Green Deal Providers. Green Deal consumer protection,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,80,660410.0,1.0,60000,64999,0,Policy,,1
113,120,Eliminated,SCS1,Head of Corporate Governance and Capability,Secretariat to the Departmental board and committees and implementation of the Department’s capability review.,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,,correspondence@decc.gsi.gov.uk,45,0.0,1.0,0,0,0,Planning,,1
114,121,N/D,SCS1,Head of Procurement,To work with relevant developers to enable final investment decisions in advance of the full implementation of Electricity Market Reform (EMR) to progress to timetable wherever possible,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,40,413112.0,0.4,70000,74999,0,Procurement,,1
115,122,N/D,SCS1,"Project Leader, FID Enabling Project",To work with relevant developers to enable final investment decisions in advance of the full implementation of Electricity Market Reform (EMR) to progress to timetable wherever possible,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,7,0.0,1.0,120000,124999,0,Finance,Costs included in post 7,1
116,123,Eliminated,SCS1,Deputy Director,Renewable Energy;Energy Resilience,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,,correspondence@decc.gsi.gov.uk,2,0.0,1.0,0,0,0,Policy,,1
117,124,N/D,SCS1,Deputy Director Renewables FID,"Responsible for delivering support to developers of renewable energy projects to enable them to take final investment decisions, or other critical investment decisions, which would otherwise be delayed by the transition to the enduring CFD regime",Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,8,0.0,1.0,90000,94999,0,Policy,Costs included in post 7,1
118,125,N/D,SCS1,Deputy Director Energy Market Reform,The Delivery Plan team will produce a draft for consultation in July and a final Delivery Plan in December 2013 (subject to Royal Assent of the Energy Bill). The Delivery Plan will set the strike prices for low carbon technologies from 2014/15 to 2018/19; include the reliability standard for the Capacity Market; and include a Forward Look to 2030,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,133,454939.0,1.0,55000,59999,0,Policy,,1
119,126,N/D,SCS1,Deputy Director Industry & Investment,"Responsible for stakeholder engagement across renewable electricity sectors, with technology leads in each area, and the key point of entry into DECC for renewables companies and investors.",Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,9,941409.0,1.0,60000,64999,0,Policy,,1
120,127,N/D,SCS1,Deputy Director Office of Unconventional Gas & Oil,The Office of Unconventional Gas and Oil co-ordinates activity within Government and leads on streamlining regulation with the aim of simplifying the regulatory process whilst appropriately safeguarding the public and the environment. ,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,5,440897.0,1.0,75000,79999,0,Policy,,1
121,128,N/D,SCS1,"Deputy Director, Head of Programme Integration",Carbon Capture and Storage Delivery,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,6,0.0,1.0,65000,69999,0,Policy,,1
122,129,N/D,SCS1,Deputy Director Programme Manager,To lead a programme within Smart Meters ,Department of Energy and Climate Change,Department of Energy and Climate Change,Consumers & Households,0300 060 4000 ,correspondence@decc.gsi.gov.uk,97,0.0,1.0,70000,74999,0,Policy,Costs included in post 97,1
123,130,N/D,SCS1,Head of Innovation Delivery Team,To lead the Innovation Delivery team,Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,37,0.0,1.0,60000,64999,0,Policy,,1
124,131,Katrina Williams,SCS3,"Director General, International, Science and Resilience","Oversight of all International, EU, Science and Resilience work on Energy and Climate Change",Department of Energy and Climate Change,Department of Energy and Climate Change,"International, Science and Resilience",0300 060 4000 ,correspondence@decc.gsi.gov.uk,1,2209934.0,1.0,115000,119999,0,Policy,,1
125,132,Kenneth MacRitchie,SCS2,Head of Business Establishment,All elements necessary for CPB and CMSB to be operational for July 2014 including design of target operating model; governance arrangements; fitout of premises; development of HRpolicies and procedures;recruitment of personnel;procurement of IT systems.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,2,0.0,1.0,140000,144999,0,Policy,,1
126,133,Jonathan Mills,SCS2,"Director, Electricity Market Reform",Responsible for delivering the Government’s electricity market reform programme.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,2,0.0,1.0,80000,84999,0,Policy,Includes costs of post 112,1
127,134,N/D,SCS1,Acting Head of UKCS Maximising Recovery Review,Head of the team supporting Sir Ian Wood’s in-depth review into the future of UK offshore oil and gas recovery.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,5,0.0,1.0,60000,64999,0,Policy,Costs included in post 5,1
128,135,N/D,SCS1,Elexon Relationship Manager,Counterparty Setup Team for EMR-CfDs,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,133,0.0,1.0,115000,119999,0,Policy,,1
129,136,N/D,SCS1,Head of Financial Strategy & Planning,Lead Financial strategy & planning team,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,40,0.0,1.0,65000,69999,0,Finance,Costs included in post 40,1
130,137,N/D,SCS1,Deputy Director of Legal Services,To provide Legal Advice and Services for DECC,Department of Energy and Climate Change,Department of Energy and Climate Change,Finance & Customer Services,0300 060 4000 ,correspondence@decc.gsi.gov.uk,41,0.0,1.0,80000,84999,0,Law,Costs included in post 41,1
131,138,N/D,SCS1,"Deputy Director,Business Establishment",All elements necessary for CPB and CMSB to be operational for July 2014 including design of target operating model; governance arrangements; fitout of premises; development of HRpolicies and procedures;recruitment of personnel;procurement of IT systems.,Department of Energy and Climate Change,Department of Energy and Climate Change,Markets & Infrastructure,0300 060 4000 ,correspondence@decc.gsi.gov.uk,132,0.0,0.4,115000,119999,0,Policy,,1
